ItemName,ItemDesc,ItemPrice,RestaurantName,image_url
"Sencha Fukamushi","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Vintage 2013 Emperor's Aged Keemun","no description",9.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Moonlight Jasmine Blossom","no description",9.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"La Tour Vieille cap De Creus Rancio Sec, Nv - Vdp De La Cte Vermeille, France()","no description",9.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"La Tour Vieille cap De Creus Rancio Sec, Nv - Vdp De La Cte Vermeille, France()","no description",97.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tirecul La Gravire les Pins, '12 - Monbazillac, France()","no description",8.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tirecul La Gravire les Pins, '12 - Monbazillac, France(500 Ml)","no description",58.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Quinta Do Infantado 10-year Tawny Port - Covas Do Douro, Portugal()","no description",8.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Quinta Do Infantado 10-year Tawny Port - Covas Do Douro, Portugal()","no description",85.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"El Maestro Sierra Pedro Ximnez - Jerez De La Frontera, Spain()","no description",7.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"El Maestro Sierra Pedro Ximnez - Jerez De La Frontera, Spain()","no description",44.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Kale and Swiss Chard Salad","with nuts, seeds, cranberries",12.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/bphoto/exbvCYTsm-g5ZR5cd7CrqA/60s.jpg
"Quinoa Salad","roasted apples, pears, pinenuts, arugula, chevre",11.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Fresh Mozzarella","sunchokes, cardoons, lemon verbena, pea tendrils",12.0,"Found Kitchen & Social House",http://s3-media3.fl.yelpcdn.com/bphoto/7tqsddQjdgqSBOKKFH1ANw/60s.jpg
"Cauliflower and Browned Butter Soup","raisins, pinenuts, sage",7.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Creamy Polenta","mushrooms, almonds, blue cheese, poached farm egg",12.0,"Found Kitchen & Social House",http://s3-media1.fl.yelpcdn.com/bphoto/_7AnfwDTvWE_66RAPyyhdg/60s.jpg
"Lamb Meat Balls","with pistachio chimichurri, yogurt",13.0,"Found Kitchen & Social House",http://s3-media4.fl.yelpcdn.com/bphoto/SyahFlrHkPyiMrUhQJ9eDg/60s.jpg
"Harissa Roasted Squash","and brussel sprouts, cilantro, pepita",9.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Artisanal Quiche of the Moment","with baby greens salad",11.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Burger","with escarole, garlic pickles, onion cream on brioche roll",14.0,"Found Kitchen & Social House",http://s3-media3.fl.yelpcdn.com/bphoto/tYMBBwsv1Opmhp3b5GxrFA/60s.jpg
"House Cured Salmon","with caper cream cheese, radish relish & sprouts on rye",14.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Pork Belly","with avocado, serrano chili, black bean, fennel slaw",13.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"French Dip","with horseradish cheddar sauce, onion mustard",12.0,"Found Kitchen & Social House",http://s3-media3.fl.yelpcdn.com/bphoto/qMe2kfs0Nyx2C3oYy9lT4w/60s.jpg
"Smoked Tofu & Root Vegetable Schwarma","with pinenuts, pickled onions",11.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Wood Oven Roasted Pork Loin","chili roasted carrots, bacon lardons, black kale",17.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Pan Roasted Trout Filet","lentils, cabbage, smoked parsnip, ruby streaks",14.0,"Found Kitchen & Social House",http://s3-media1.fl.yelpcdn.com/bphoto/-o4UExx3I5NyCQsYE5muXA/60s.jpg
"Arugula & Parmesan","no description",11.0,"Found Kitchen & Social House",http://s3-media4.fl.yelpcdn.com/bphoto/0E0Ti0nG4yBfGeFDJqjUGg/60s.jpg
"Bacon & Leek","no description",14.0,"Found Kitchen & Social House",http://s3-media4.fl.yelpcdn.com/bphoto/911tcLp75SBtbIcEXDegCA/60s.jpg
"Sweet Potato Hummus & Quark","no description",16.0,"Found Kitchen & Social House",http://s3-media3.fl.yelpcdn.com/bphoto/4-jXCAgu1HDn0dfJEFTtKQ/60s.jpg
"Braised Lamb","celery root, acorn squash",17.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Chocolate Pot De Crme","crème fraiche, shortbread",7.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Pear Cake & Dark Chocolate","no description",7.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Selection of 3 Cheeses","no description",12.0,"Found Kitchen & Social House",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Beer Battered Wisconsin Cheese Curds","House Made Catsup & Spicy Curd Sauce",9.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Beer Bread and Butter","Hewn Bakery Loaf with Temperance Spent Grains, Whipped Honey Butter",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Whole Wheat Flatbread","House Made Italian Sausage, Fennel, Arugula, Verjus",13.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tavern Cut Potato Chips","Caramelized Onion Goat Cheese Dip",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tavern Fries","Roasted Garlic Mayo",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Farmer's Cellar Board","Local Cheeses, House Made Charcuterie & Accompaniments",17.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Beet and Baby Arugula Salad","Toasted Walnuts, Dried Cranberries, Goat Cheese, Wildflower Honey Mustard Vinaigrette",12.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Farm Green Salad*","Artisan Lettuce, Fennel, Fresh Herbs, Citrus Vinaigrette",9.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Homemade Chicken Soup","Kale, Wild Mushrooms",6.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Seasonal Soup","no description",6.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Pan Roasted Trout*","Heirloom Carrot Puree, Navy Bean, Root Vegetable Succotash, Sweet Potato Chips",24.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Half Amish Chicken","Smashed & Fried Red Bliss Potato, Forest Mushroom, Natural Jus",22.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Bone-In Pork Chop","Tell William Cider Braised Black Barley, Mire Poix, Fermented Wisconsin Black Garlic, Dijon Demi, Cider Caramel",24.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Potato Pierogi","Roasted Mushrooms, Black Kale, Sundried Tomato, Vodka Chive Crème Fraiche",18.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Indiana Fish Fry","Beer Battered Yellow Perch, Tartar Slaw, Mustard Seed Gastrique, Tavern Cut Fries",17.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Veggie Burger","Old World Grains, Forest Mushrooms, Poblano Peppers, Garlic Mayo, Country Style Roll, Tavern Fries",11.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Farmhouse Dry Aged Burger","100% Grass Fed Beef, Lettuce, Tomato, Onion, Nueske's Bacon, Red Barn Heritage White Cheddar, Country Style Roll, Tavern Frie",15.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Brussels Sprout Gratin","no description",6.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Buttermilk Smashed Potatoes","no description",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Seasonal Market Vegetables","no description",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tavern Cut Fries","no description",4.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Baked Cheddar Mac 'n Cheese(Side)","no description",6.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Baked Cheddar Mac 'n Cheese(For the Table)","no description",10.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Seasons Soda","Seasonal Flavors - Please ask your server. Artisanal raw sparkling juice, no added sugars",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Hot Tea","no description",5.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Iced Tea","no description",3.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Coke, Diet Coke, Sprite","no description",3.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Root Beer","no description",4.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Ginger Ale","no description",4.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Seasonal Blend","no description",4.0,"Farmhouse Evanston",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Ginger Peanut Salad","With mixed organic greens, julienne pickled carrots, radish, slaw, roasted crushed peanuts and toasted sesame seeds with seasoned lemon and cilantro rice.",7.75,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Wasabi Caesar Chicken Salad","With organic greens, edamame, cherry tomato and julienne carrots with seasoned lemon and cilantro rice.",7.75,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tuna Rice Itsu Salad","Free range eggs, green beans and cherry tomatoes with seasoned lemon and cilantro rice.",7.75,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Burmese Coconut Curry","Burmese coconut curry, onion raisin and coconut. Served with pickled carrots, cilantro and chili aioli toasted on locally baked bread with a choice of sides.",7.75,"Soulwich",http://s3-media4.fl.yelpcdn.com/bphoto/IZlvamWbOo1abNJcOHes7g/60s.jpg
"Indonesian Ginger BBQ","Pear juice, sesame seed, oil, fresh ginger, garlic and soy sauce. Served with pickled carrots, cilantro and chili aioli toasted on locally baked bread with a choice of sides.",7.89,"Soulwich",http://s3-media4.fl.yelpcdn.com/bphoto/uNH7ahO0EYd-JgHcBaibRQ/60s.jpg
"Wasabi Teriyaki","Wasabi teriyaki and infused caramelized onion. Served with pickled carrots, cilantro and chili aioli toasted on locally baked bread with a choice of sides.",7.89,"Soulwich",http://s3-media1.fl.yelpcdn.com/bphoto/iKQZUSV6xtvY6Zfw_Nv0rw/60s.jpg
"Paneer Fig","Paneer fig, goat cheese, homemade fig spread and infused caramelized onion. Served with pickled carrots, cilantro and chili aioli toasted on locally baked bread with a choice of sides. Vegetarian.",7.95,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Singapore Tikka","Tomato, butter, onion and curry. Served with pickled carrots, cilantro and chili aioli toasted on locally baked bread with a choice of sides.",7.75,"Soulwich",http://s3-media3.fl.yelpcdn.com/bphoto/JltSeHJa9AUaAvZ4KBzlgQ/60s.jpg
"Sesame Chili Tuna","Sesame chili tuna (served warm and mayo free). Served with pickled carrots, cilantro and chili aioli toasted on locally baked bread with a choice of sides.",7.75,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Homemade Asian Slaw","No mayo.",2.25,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Home Fried Chips","no description",2.25,"Soulwich",http://s3-media1.fl.yelpcdn.com/bphoto/v2b5EGP2OqX_1HE7FDJWzA/60s.jpg
"Water","no description",2.0,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Unfiltered Ginger Ale","no description",2.5,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Diet Coke","no description",1.0,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Coconut Water","no description",2.5,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Mexican Coke","no description",2.5,"Soulwich",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Baked Artichoke","Spinach, portobello mushroom, gorgonzola cheese, brown caper butter",15.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Cheese for Two","Daily selection of four artisan cheeses, fresh fruit, candied walnuts and currant-walnut toast",15.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"House Charcuterie","House-made pate, duck liver mousse, cornichon and field greens",14.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/bphoto/kqk3xTGC3MDrBwu8dW-6cw/60s.jpg
"Crab Cakes","Roasted corn, poblano peppers, jicama slaw, lime/cilantro aioli",13.0,"The Stained Glass",http://s3-media4.fl.yelpcdn.com/bphoto/lhd8SacEFEH2Z60ZHqJ7rg/60s.jpg
"Escargot","Herb-garlic custard, crispy parmesan, petite herbs de provence",12.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/bphoto/HyBM3Y3VJ9wOoK1c08p4oA/60s.jpg
"Bacon Flight","House cured and smoked berkshire pork belly: bourbon-maple, tequila jalapeno, chinese five spice. Served with onion marmalade and toast points",12.0,"The Stained Glass",http://s3-media3.fl.yelpcdn.com/bphoto/sxpu9ADiGzMrg7uhfKxwbQ/60s.jpg
"Foie Gras Blt","Seared foie gras, toasted brioche, applewood smoked bacon, cherry tomatoes, micro greens, white truffle mayonnaise",15.0,"The Stained Glass",http://s3-media3.fl.yelpcdn.com/bphoto/AIXlHQzrrUvdeupJXa83Fg/60s.jpg
"Sepia","Grilled cuttlefish, roasted butternut squash, marcona almonds, crispy brussel sprout leaves, chili oil",12.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/bphoto/fVdi1XEdSirCB5oRsX99ZA/60s.jpg
"Lobster Bisque","Garnished with lobster and micro greens",9.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Butter Lettuce Salad","Kalamata olives, caramelized walnuts and feta cheese",8.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Baby Beet Salad","Assorted baby beets, arugula, baby kale, pretzel croutons, mint-greek yogurt dressing, goat cheese",9.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Deviled Eggs","Deviled eggs with smoked salmon bacon, salmon caviar, black truffle puree",10.0,"The Stained Glass",http://s3-media3.fl.yelpcdn.com/bphoto/kjPm0liFr8wShnaObhAZ0Q/60s.jpg
"House Cured Salmon","Organic scottish salmon, baby spinach, rye croutons, cream cheese-citrus remoulade, red onion, crispy capers",11.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Quinoa Tabouleh","Quinoa salad, cucumbers, parsley, tomato, hearts of palm, baby kale",8.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Lake Superior Whitefish","Carrot and ricotta gnudi, baby kale and heirloom carrot salad, sunchoke veloute",27.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Australian Rack of Lamb","Organic wild mushrooms, parmesan and white truffle crème brûlée haricots vêrts, mint pesto",32.0,"The Stained Glass",http://s3-media3.fl.yelpcdn.com/bphoto/2F4iJWDk5sgLxxy6DP6nyA/60s.jpg
"Tuna, Tuna, Tuna","Tuna sashimi with pickled vegetable salad. Pastrami spice crusted tuna, red cabbage slaw, tuna tartare",29.0,"The Stained Glass",http://s3-media1.fl.yelpcdn.com/bphoto/h-69XDe7_pb1V8LeTFOrnA/60s.jpg
"8 Oz. Angus Hanger Steak","Cocoa nib rub, potato galette, red chard, date and ancho chile glaze",27.0,"The Stained Glass",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
